2024-07-04 12:45:30,262 INFO    StreamThr :633309 [internal.py:wandb_internal():85] W&B internal server running at pid: 633309, started at: 2024-07-04 12:45:30.262526
2024-07-04 12:45:30,264 DEBUG   HandlerThread:633309 [handler.py:handle_request():158] handle_request: status
2024-07-04 12:45:30,264 INFO    WriterThread:633309 [datastore.py:open_for_write():87] open: /home/ccbd01/HypergraphConstruction/wandb/run-20240704_124530-gbikp8k8/run-gbikp8k8.wandb
2024-07-04 12:45:30,264 DEBUG   SenderThread:633309 [sender.py:send():379] send: header
2024-07-04 12:45:30,265 DEBUG   SenderThread:633309 [sender.py:send():379] send: run
2024-07-04 12:45:30,911 INFO    SenderThread:633309 [dir_watcher.py:__init__():211] watching files in: /home/ccbd01/HypergraphConstruction/wandb/run-20240704_124530-gbikp8k8/files
2024-07-04 12:45:30,911 INFO    SenderThread:633309 [sender.py:_start_run_threads():1188] run started: gbikp8k8 with start time 1720077330.262312
2024-07-04 12:45:30,915 DEBUG   HandlerThread:633309 [handler.py:handle_request():158] handle_request: check_version
2024-07-04 12:45:30,915 DEBUG   SenderThread:633309 [sender.py:send_request():406] send_request: check_version
2024-07-04 12:45:30,976 DEBUG   HandlerThread:633309 [handler.py:handle_request():158] handle_request: run_start
2024-07-04 12:45:30,981 DEBUG   HandlerThread:633309 [system_info.py:__init__():26] System info init
2024-07-04 12:45:30,981 DEBUG   HandlerThread:633309 [system_info.py:__init__():41] System info init done
2024-07-04 12:45:30,981 INFO    HandlerThread:633309 [system_monitor.py:start():194] Starting system monitor
2024-07-04 12:45:30,981 INFO    SystemMonitor:633309 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-04 12:45:30,981 INFO    HandlerThread:633309 [system_monitor.py:probe():214] Collecting system info
2024-07-04 12:45:30,981 INFO    SystemMonitor:633309 [interfaces.py:start():188] Started cpu monitoring
2024-07-04 12:45:30,981 INFO    SystemMonitor:633309 [interfaces.py:start():188] Started disk monitoring
2024-07-04 12:45:30,982 INFO    SystemMonitor:633309 [interfaces.py:start():188] Started gpu monitoring
2024-07-04 12:45:30,982 INFO    SystemMonitor:633309 [interfaces.py:start():188] Started memory monitoring
2024-07-04 12:45:30,983 INFO    SystemMonitor:633309 [interfaces.py:start():188] Started network monitoring
2024-07-04 12:45:30,992 DEBUG   HandlerThread:633309 [system_info.py:probe():152] Probing system
2024-07-04 12:45:30,993 DEBUG   HandlerThread:633309 [system_info.py:_probe_git():137] Probing git
2024-07-04 12:45:30,996 DEBUG   HandlerThread:633309 [system_info.py:_probe_git():145] Probing git done
2024-07-04 12:45:30,996 DEBUG   HandlerThread:633309 [system_info.py:probe():200] Probing system done
