2024-07-04 12:51:14,531 INFO    StreamThr :634519 [internal.py:wandb_internal():85] W&B internal server running at pid: 634519, started at: 2024-07-04 12:51:14.531515
2024-07-04 12:51:14,532 DEBUG   HandlerThread:634519 [handler.py:handle_request():158] handle_request: status
2024-07-04 12:51:14,533 INFO    WriterThread:634519 [datastore.py:open_for_write():87] open: /home/ccbd01/HypergraphConstruction/wandb/run-20240704_125114-8ovu8rai/run-8ovu8rai.wandb
2024-07-04 12:51:14,533 DEBUG   SenderThread:634519 [sender.py:send():379] send: header
2024-07-04 12:51:14,534 DEBUG   SenderThread:634519 [sender.py:send():379] send: run
2024-07-04 12:51:15,183 INFO    SenderThread:634519 [dir_watcher.py:__init__():211] watching files in: /home/ccbd01/HypergraphConstruction/wandb/run-20240704_125114-8ovu8rai/files
2024-07-04 12:51:15,183 INFO    SenderThread:634519 [sender.py:_start_run_threads():1188] run started: 8ovu8rai with start time 1720077674.531442
2024-07-04 12:51:15,186 DEBUG   HandlerThread:634519 [handler.py:handle_request():158] handle_request: check_version
2024-07-04 12:51:15,186 DEBUG   SenderThread:634519 [sender.py:send_request():406] send_request: check_version
2024-07-04 12:51:15,239 DEBUG   HandlerThread:634519 [handler.py:handle_request():158] handle_request: run_start
2024-07-04 12:51:15,243 DEBUG   HandlerThread:634519 [system_info.py:__init__():26] System info init
2024-07-04 12:51:15,243 DEBUG   HandlerThread:634519 [system_info.py:__init__():41] System info init done
2024-07-04 12:51:15,243 INFO    HandlerThread:634519 [system_monitor.py:start():194] Starting system monitor
2024-07-04 12:51:15,243 INFO    SystemMonitor:634519 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-04 12:51:15,243 INFO    HandlerThread:634519 [system_monitor.py:probe():214] Collecting system info
2024-07-04 12:51:15,244 INFO    SystemMonitor:634519 [interfaces.py:start():188] Started cpu monitoring
2024-07-04 12:51:15,244 INFO    SystemMonitor:634519 [interfaces.py:start():188] Started disk monitoring
2024-07-04 12:51:15,245 INFO    SystemMonitor:634519 [interfaces.py:start():188] Started gpu monitoring
2024-07-04 12:51:15,245 INFO    SystemMonitor:634519 [interfaces.py:start():188] Started memory monitoring
2024-07-04 12:51:15,245 INFO    SystemMonitor:634519 [interfaces.py:start():188] Started network monitoring
2024-07-04 12:51:15,254 DEBUG   HandlerThread:634519 [system_info.py:probe():152] Probing system
2024-07-04 12:51:15,255 DEBUG   HandlerThread:634519 [system_info.py:_probe_git():137] Probing git
2024-07-04 12:51:15,258 DEBUG   HandlerThread:634519 [system_info.py:_probe_git():145] Probing git done
2024-07-04 12:51:15,258 DEBUG   HandlerThread:634519 [system_info.py:probe():200] Probing system done
